word,gloss,alternate_words
#all,,
#hs,,
#no,,
(movie/tv) credits,,
abut,"lie adjacent to another or share a boundary; ""Canada adjoins the U.S.""; ""England marches with Scotland""","abut, adjoin, border, butt, butt_against, butt_on, edge, march"
abuzz,"noisy like the sound of a bee; ""the room was abuzz over the latest scandal""","abuzz, buzzing, droning"
abysmal,"so deep as to be unmeasurable; ""the abyssal depths of the ocean""","abysmal, abyssal, unfathomable"
abyssal plain,,
ac,a system that keeps air cool and dry,"ac, air_conditioner, air_conditioning"
ac power,,
academe,the academic world,"academe, academia"
academia,the academic world,"academe, academia"
academic,"associated with academia or an academy; ""the academic curriculum""; ""academic gowns""",academic
academic article,,
academics,"associated with academia or an academy; ""the academic curriculum""; ""academic gowns""",academic
academies,a secondary school (usually private),academy
accede,"to agree or express agreement; ""The Maestro assented to the request for an encore""","accede, acquiesce, assent"
accelerate,"move faster; ""The car accelerated""","accelerate, quicken, speed, speed_up"
accent,"distinctive manner of oral expression; ""he couldn''t suppress his contemptuous accent""; ""she had a very clear speech pattern""","accent, speech_pattern"
accentuate,"to stress, single out as important; ""Dr. Jones emphasizes exercise in addition to a change in diet""","accent, accentuate, emphasise, emphasize, punctuate, stress"
accept,"consider or hold as true; ""I cannot accept the dogma of this church""; ""accept an argument""",accept
accept,"give sanction to; ""I approve of his educational policies""","approve, O.K., okay, sanction"
accept,"choose and follow; as of theories, ideas, policies, strategies or plans; ""She followed the feminist movement""; ""The candidate espouses Republican ideals""","adopt, espouse, follow"
acceptable,"worthy of acceptance or satisfactory; ""acceptable levels of radiation""; ""performances varied from acceptable to excellent""",acceptable
access,"a way of entering or leaving; ""he took a wrong turn on the access to the bridge""","access, approach"
accession,the right to enter,"access, accession, admittance, entree"
accessories,a supplementary component that improves capability,"accessory, add-on, appurtenance, supplement"
accessorise,,
accessory,a supplementary component that improves capability,"accessory, add-on, appurtenance, supplement"
accident,a mishap; especially one causing injury or death,accident
accident,anything that happens by chance without an apparent cause,"accident, chance_event, fortuity"
accidental,"associated by chance and not an integral part; ""poetry is something to which words are the accidental, not by any means the essential form""- Frederick W. Robertson; ""they had to decide whether his misconduct was adventitious or the result of a flaw in his","accidental, adventitious"
acclaim,"praise vociferously; ""The critics hailed the young pianist as a new Rubinstein""","acclaim, hail, herald"
acclimate,"get used to a certain climate; ""They never acclimatized in Egypt""","acclimate, acclimatise, acclimatize"
accolade,"a tangible symbol signifying approval or distinction; ""an award for bravery""","accolade, award, honor, honour, laurels"
accommodate,"make fit for, or change to suit a new purpose; ""Adapt our native cuisine to the available food resources of the new country""","accommodate, adapt"
accommodations,making or becoming suitable; adjusting to circumstances,"accommodation, adjustment, fitting"
